Rang,Nom - Prénom,Suffrages
1,BRÉLAZ Daniel,6489
2,PIDOUX Jean-Yves,6074
3,BIÉLER Benoît,5052
4,FERRARI Yves,4983
5,LITZISTORF Natacha,4755
6,BERGMANN Sylvianne,4666
7,GRABER Nicole,4591
8,MICHAUD GIGON Sophie,4486
9,ROSSI Vincent,4407
10,MAYOR Isabelle,4399
11,BONNARD Claude,4389
12,REBEAUD Laurent,4367
13,GRIN Claude Nicole,4362
14,CARREIRA Susana,4351
15,OSTERMANN Roland,4348
16,NSENGIMANA Nkiko,4294
17,BEAUD Valéry,4287
18,MÜLLER Elisabeth,4231
19,GIRARDET Lucas,4222
20,VELASCO Maria,4191
21,LAPIQUE Gaëlle,4175
22,BRÉLAZ-BUCHS Marie-Ange,4172
23,TREZZINI Giampiero,4160
24,GEBHARDT André,4153
25,EVÉQUOZ Séverine,4141
26,DUBAS Daniel,4137
27,ROCH Karine,4105
28,HUGUENET François,4069
29,DIOUWARA Tidiane,4067
30,BOZOVIC Tamara,4050
31,PORCHET Léonore,4019
32,GENOUD Alice,4001
33,DUBUIS Aurélie,3999
34,KAISER MORRIS Ximena,3981
35,BOUCHARLAT Isabelle,3964
36,RUDAZ Benjamin,3955
37,BORREGO Joana,3954
38,RÄSS Etienne,3939
39,SCHLACHTER Thomas,3928
40,JUNGE Anne-Laure,3915
41,ZRYD Claude,3900
42,BERGUERAND Anne,3887
43,HAUERT Muriel,3884
44,GERBEX Pauline,3879
45,LAESSLÉ Melaine-Noé,3872
46,BOURDIN David,3866
47,GARBAR Elisabeth,3866
48,CHAVANNE Nathalie,3863
49,GUERRY Marie-Claude,3850
50,MELLINA Maxime,3848
51,WERTLI Félix,3841
52,BURNIER OBONI Françoise,3838
53,ÖRER Meryem,3831
54,BLEZON Derou Georges,3829
55,BETTENS Eric,3819
56,MARTIN Olivier,3818
57,REMY Magaly,3818
58,GRIS-PEDRAZZI Franca,3817
59,ENGHEBEN Marco,3793
60,MOUSSU Nils,3763
61,RAEDLER David,3760
62,SCHÄRER Kyong-Won,3750
63,DURUZ Cyril,3748
64,CEUPPENS Teddy,3746
65,JOLIAT Julien,3719
66,FUENTES Jean-Michel,3691
67,SEIBT Jonathan,3669
68,PEIRY Raphaël,3654
